Category: FRED > Categories > Production & Business Activity > Retail Trade
Link: https://fred.stlouisfed.org/categories/6
README File Created: 2017-12-09
FRED (Federal Reserve Economic Data)
Economic Research Division
Federal Reserve Bank of St. Louis

Series files in the data directory sorted by series id:

File                                    ;Title; Units; Frequency; Seasonal Adjustment; Last Updated
ARIEAPN.txt                             ;Advance Retail Inventories: Retail Trade, Excluding Auto; Mil. of $; M; NSA; 2017-12-07
ARIEAPS.txt                             ;Advance Retail Inventories: Retail Trade, Excluding Auto; Mil. of $; M; SA; 2017-12-07
ARIMVPN.txt                             ;Advance Retail Inventories: Motor Vehicle and Parts Dealers; Mil. of $; M; NSA; 2017-12-07
ARIMVPS.txt                             ;Advance Retail Inventories: Motor Vehicle and Parts Dealers; Mil. of $; M; SA; 2017-12-07
ARINVTN.txt                             ;Advance Retail Inventories: Retail (Excluding Food Services); Mil. of $; M; NSA; 2017-12-07
ARINVTS.txt                             ;Advance Retail Inventories: Retail (Excluding Food Services); Mil. of $; M; SA; 2017-12-07
CMRMT.txt                               ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 2009 $; M; SA; 2017-11-30
CMRMTSPL.txt                            ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 2009 $; M; SA; 2017-11-30
CQRMT.txt                               ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 2009 $; Q; SA; 2017-11-30
CQRMTSPL.txt                            ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 2009 $; Q; SA; 2017-11-30
ECOMNSA.txt                             ;E-Commerce Retail Sales; Mil. of $; Q; NSA; 2017-11-17
ECOMPCTNSA.txt                          ;E-Commerce Retail Sales as a Percent of Total Sales; %; Q; NSA; 2017-11-17
ECOMPCTSA.txt                           ;E-Commerce Retail Sales as a Percent of Total Sales; %; Q; SA; 2017-11-17
ECOMSA.txt                              ;E-Commerce Retail Sales; Mil. of $; Q; SA; 2017-11-17
HMRMT.txt                               ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 1996 $; M; SA; 2013-06-14
HQRMT.txt                               ;Real Manufacturing and Trade Industries Sales; Mil. of Chn. 1996 $; Q; SA; 2013-06-14
MARTSMPCSM44000USN.txt                  ;Advance Retail Sales: Retail (Excluding Food Services); % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM44000USS.txt                  ;Advance Retail Sales: Retail (Excluding Food Services); % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM441USN.txt                    ;Advance Retail Sales: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM441USS.txt                    ;Advance Retail Sales: Motor Vehicle and Parts Dealers; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM441XUSN.txt                   ;Advance Retail Sales: Auto and Other Motor Vehicles; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM441XUSS.txt                   ;Advance Retail Sales: Auto and Other Motor Vehicles; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM442USN.txt                    ;Advance Retail Sales: Furniture and Home Furnishings Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM442USS.txt                    ;Advance Retail Sales: Furniture and Home Furnishings Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM443USN.txt                    ;Advance Retail Sales: Electronics and Appliance Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM443USS.txt                    ;Advance Retail Sales: Electronics and Appliance Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM444USN.txt                    ;Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM444USS.txt                    ;Advance Retail Sales: Building Materials, Garden Equipment and Supplies Dealers; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM4451USN.txt                   ;Advance Retail Sales: Grocery Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM4451USS.txt                   ;Advance Retail Sales: Grocery Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM445USN.txt                    ;Advance Retail Sales: Food and Beverage Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM445USS.txt                    ;Advance Retail Sales: Food and Beverage Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM446USN.txt                    ;Advance Retail Sales: Health and Personal Care Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM446USS.txt                    ;Advance Retail Sales: Health and Personal Care Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM447USN.txt                    ;Advance Retail Sales: Gasoline Stations; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM447USS.txt                    ;Advance Retail Sales: Gasoline Stations; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM448USN.txt                    ;Advance Retail Sales: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM448USS.txt                    ;Advance Retail Sales: Clothing and Clothing Accessory Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM44X72USN.txt                  ;Advance Retail Sales: Retail and Food Services, Total; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM44X72USS.txt                  ;Advance Retail Sales: Retail and Food Services, Total; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM44Y72USN.txt                  ;Advance Retail Sales: Retail and Food Services Excluding Motor Vehicles and Parts Dealers; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM44Y72USS.txt                  ;Advance Retail Sales: Retail and Food Services Excluding Motor Vehicles and Parts Dealers; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM451USN.txt                    ;Advance Retail Sales: Sporting Goods, Hobby, Book, and Music Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM451USS.txt                    ;Advance Retail Sales: Sporting Goods, Hobby, Book, and Music Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM4521EUSN.txt                  ;Advance Retail Sales: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM4521EUSS.txt                  ;Advance Retail Sales: Department Stores (Excluding Leased Departments); % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM452USN.txt                    ;Advance Retail Sales: General Merchandise Stores; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM452USS.txt                    ;Advance Retail Sales: General Merchandise Stores; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM453USN.txt                    ;Advance Retail Sales: Miscellaneous Store Retailers; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM453USS.txt                    ;Advance Retail Sales: Miscellaneous Store Retailers; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM454USN.txt                    ;Advance Retail Sales: Nonstore Retailers; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM454USS.txt                    ;Advance Retail Sales: Nonstore Retailers; % Chg. from Preceding Period; M; SA; 2017-12-01
MARTSMPCSM722USN.txt                    ;Advance Retail Sales: Food Services and Drinking Places; % Chg. from Preceding Period; M; NSA; 2017-12-01
MARTSMPCSM722USS.txt                    ;Advance Retail Sales: Food Services and Drinking Places; % Chg. from Preceding Period; M; SA; 2017-12-01
MRTSIM44000USN.txt                      ;Retail Inventories: Retail (Excluding Food Services); Mil. of $; M; NSA; 2017-12-06
MRTSIM44000USS.txt                      ;Retail Inventories: Retail (Excluding Food Services); Mil. of $; M; SA; 2017-12-06
MRTSIM4400AUSN.txt                      ;Retail Inventories: Retail Trade, Excluding Auto; Mil. of $; M; NSA; 2017-12-06
MRTSIM4400AUSS.txt                      ;Retail Inventories: Retail Trade, Excluding Auto; Mil. of $; M; SA; 2017-12-06
MRTSIM441USN.txt                        ;Retail Inventories: Motor Vehicle and Parts Dealers; Mil. of $; M; NSA; 2017-12-06
MRTSIM441USS.txt                        ;Retail Inventories: Motor Vehicle and Parts Dealers; Mil. of $; M; SA; 2017-12-06
MRTSIM4423XUSN.txt                      ;Retail Inventories: Furniture, Home Furniture, Electronics, and Appliance Stores; Mil. of $; M; NSA; 2017-12-06
MRTSIM4423XUSS.txt                      ;Retail Inventories: Furniture, Home Furniture, Electronics, and Appliance Stores; Mil. of $; M; SA; 2017-12-06
MRTSIM444USN.txt                        ;Retail Inventories: Building Materials, Garden Equipment and Supplies Dealers; Mil. of $; M; NSA; 2017-12-06
MRTSIM444USS.txt                        ;Retail Inventories: Building Materials, Garden Equipment and Supplies Dealers; Mil. of $; M; SA; 2017-12-06
MRTSIM445USN.txt                        ;Retail Inventories: Food and Beverage Stores; Mil. of $; M; NSA; 2017-12-06
MRTSIM445USS.txt                        ;Retail Inventories: Food and Beverage Stores; Mil. of $; M; SA; 2017-12-06
MRTSIM448USN.txt                        ;Retail Inventories: Clothing and Clothing Accessory Stores; Mil. of $; M; NSA; 2017-12-06
MRTSIM448USS.txt                        ;Retail Inventories: Clothing and Clothing Accessory Stores; Mil. of $; M; SA; 2017-12-06
MRTSIM4521EUSN.txt                      ;Retail Inventories: Department Stores (Excluding Leased Departments); Mil. of $; M; NSA; 2017-12-06
MRTSIM4521EUSS.txt                      ;Retail Inventories: Department Stores (Excluding Leased Departments); Mil. of $; M; SA; 2017-12-06
MRTSIM452USN.txt                        ;Retail Inventories: General Merchandise Stores; Mil. of $; M; NSA; 2017-12-06
MRTSIM452USS.txt                        ;Retail Inventories: General Merchandise Stores; Mil. of $; M; SA; 2017-12-06
MRTSIR44000USN.txt                      ;Retail Inventories to Sales Ratio: Retail (Excluding Food Services); Ratio; M; NSA; 2017-12-06
MRTSIR44000USS.txt                      ;Retail Inventories to Sales Ratio: Retail (Excluding Food Services); Ratio; M; SA; 2017-12-06
MRTSIR4400AUSN.txt                      ;Retail Inventories to Sales Ratio: Retail Trade, Excluding Auto; Ratio; M; NSA; 2017-12-06
MRTSIR4400AUSS.txt                      ;Retail Inventories to Sales Ratio: Retail Trade, Excluding Auto; Ratio; M; SA; 2017-12-06
MRTSIR441USN.txt                        ;Retail Inventories to Sales Ratio: Motor Vehicle and Parts Dealers; Ratio; M; NSA; 2017-12-06
MRTSIR441USS.txt                        ;Retail Inventories to Sales Ratio: Motor Vehicle and Parts Dealers; Ratio; M; SA; 2017-12-06
MRTSIR4423XUSN.txt                      ;Retail Inventories to Sales Ratio: Furniture, Home Furniture, Electronics, and Appliance Stores; Ratio; M; NSA; 2017-12-06
MRTSIR4423XUSS.txt                      ;Retail Inventories to Sales Ratio: Furniture, Home Furniture, Electronics, and Appliance Stores; Ratio; M; SA; 2017-12-06
MRTSIR444USN.txt                        ;Retail Inventories to Sales Ratio: Building Materials, Garden Equipment and Supplies Dealers; Ratio; M; NSA; 2017-12-06
MRTSIR444USS.txt                        ;Retail Inventories to Sales Ratio: Building Materials, Garden Equipment and Supplies Dealers; Ratio; M; SA; 2017-12-06
